"Index", "Living Space (sq ft)", "Beds", "Baths", "Zip", "Year", "List Price ($)","test"
10, 1997, 3, 3,   32311, 2006, 295000,1
11, 2097, 4, 3,   32311, 2016, 290000,1
12, 3200, 5, 4,   32312, 1964, 465000,1
13, 4892, 5, 6,   32311, 2005, 799900,1
14, 1128, 2, 1,   32303, 1955,  89000,1
15, 1381, 3, 2,   32301, 2006, 143000,1
16, 4242, 4, 5,   32303, 2007, 569000,1
17, 2533, 3, 2,   32310, 1991, 365000,1
18, 1158, 3, 2,   32303, 1993, 155000,1
19, 2497, 4, 4,   32309, 1990, 289000,1
20, 4010, 5, 3,   32309, 2002, 549900,1
